Date,Open,High,Low,Close,Adj Close,Volume
2018-01-03,187.649994,191.820007,187.580002,191.660004,183.995392,646400
2018-01-04,197.250000,202.270004,197.009995,197.289993,189.400284,1539500
2018-01-05,198.210007,201.970001,197.729996,200.300003,192.289902,1158500
2018-01-08,200.139999,203.740005,198.679993,203.610001,195.467514,1068300
2018-01-09,204.479996,207.520004,203.130005,206.710007,198.443573,1159000
2018-01-10,198.500000,201.199997,196.179993,200.089996,192.088318,2404800
2018-01-11,201.039993,209.919998,201.039993,209.850006,201.457993,1465000
2018-01-12,209.500000,212.789993,209.210007,211.149994,202.705948,1015000
2018-01-16,213.949997,213.949997,208.789993,209.289993,200.920380,1104400
2018-01-17,209.289993,209.699997,207.289993,207.889999,199.576370,836400
2018-01-18,208.000000,210.990005,207.509995,210.910004,202.475632,769300
2018-01-19,211.470001,214.970001,211.250000,213.539993,205.000412,615600
2018-01-22,213.470001,216.289993,211.880005,216.289993,207.640427,839600
2018-01-23,216.289993,221.649994,215.979996,219.570007,210.789291,1145400
2018-01-24,220.050003,220.699997,217.520004,218.720001,209.973282,835900
2018-01-25,220.899994,221.919998,218.899994,219.330002,210.558899,762300
2018-01-26,219.330002,219.639999,215.250000,216.779999,208.110855,765800
2018-01-29,215.699997,218.669998,214.550003,215.330002,206.718872,705200
2018-01-30,214.020004,216.509995,213.449997,215.949997,207.314026,617700
2018-01-31,216.809998,218.000000,215.220001,216.850006,208.178085,699300
2018-02-01,215.699997,219.520004,215.699997,218.669998,209.925278,687000
2018-02-02,217.130005,218.880005,214.110001,214.380005,205.806854,784300
2018-02-05,210.389999,215.380005,205.729996,208.020004,199.701157,946800
2018-02-06,202.149994,210.839996,200.509995,208.460007,200.123581,1396600
2018-02-07,207.830002,213.110001,207.679993,211.309998,202.859619,884500
2018-02-08,210.649994,210.750000,198.509995,198.570007,190.629089,1450000
2018-02-09,200.279999,207.550003,199.000000,206.089996,197.848343,1228400
2018-02-12,208.410004,212.740005,206.020004,211.869995,203.397186,942800
2018-02-13,211.059998,212.940002,203.399994,208.000000,199.681961,1277900
2018-02-14,206.500000,210.770004,205.509995,209.779999,201.390778,918300
2018-02-15,212.300003,219.729996,212.080002,217.699997,208.994049,1399000
2018-02-16,218.000000,221.899994,214.479996,220.740005,211.912491,1396400
2018-02-20,215.500000,227.100006,208.220001,221.490005,212.632492,4770100
2018-02-21,222.149994,236.000000,221.759995,230.529999,221.310989,3409700
2018-02-22,230.000000,230.250000,224.199997,227.000000,217.922195,1791200
2018-02-23,227.979996,229.250000,225.020004,228.850006,219.698196,1014800
2018-02-26,230.710007,231.039993,227.460007,228.020004,218.901367,980800
2018-02-27,228.979996,230.990005,226.100006,226.470001,217.413345,634200
2018-02-28,226.210007,228.240005,222.289993,222.410004,213.515762,918500
2018-03-01,222.000000,225.789993,219.289993,222.820007,213.909302,898900
2018-03-02,220.690002,224.160004,219.559998,223.100006,214.178116,873200
2018-03-05,222.360001,222.360001,218.000000,219.610001,210.827682,930100
2018-03-06,223.500000,223.809998,218.600006,221.440002,212.584488,965300
2018-03-07,222.929993,223.729996,220.309998,222.960007,214.043762,754800
2018-03-08,223.809998,226.630005,221.809998,222.779999,213.870911,581100
2018-03-09,224.389999,230.449997,222.770004,230.259995,221.051773,656800
2018-03-12,230.500000,232.490005,227.550003,227.690002,218.584579,855300
2018-03-13,228.210007,229.929993,225.779999,226.399994,217.346130,675300
